STT,Voi,Ma The,Bien So Xe,Ngay,Gio,Tien,Lit,Gia,Tong Tien,Tong Lit,Tien Nop,So Du, Ma Giao Dich
1,99,5FCF32E7,51C17164 ,20201227,74841,3264628,263915,12370,3264628,263915,0,-3264628,29340
2,99,5FCF32E7,51C17164 ,20210104,63024,4700105,379960,12370,7964733,643875,0,-7964733,8946
3,99,5FCF32E7,51C17164 ,20210113,151224,4400236,348120,12640,12364969,991995,0,-12364969,29196
4,99,5FCF32E7,51C17164 ,20210121,224232,4900085,387665,12640,17265054,1379660,0,-17265054,11107
5,99,5FCF32E7,51C17164 ,20210129,134908,5400059,414115,13040,22665113,1793775,0,-22665113,20641
6,99,5FCF32E7,51C17164 ,20210206,232427,5300108,406450,13040,27965221,2200225,0,-27965221,23285
7,99,5FCF32E7,51C17164 ,20210221,112119,5200026,398775,13040,33165247,2599000,0,-33165247,6219
8,99,5FCF32E7,51C17164 ,20210303,125645,4757915,343780,13840,37923162,2942780,0,-37923162,18053
9,99,5FCF32E7,51C17164 ,20210310,184223,4700686,339645,13840,42623848,3282425,0,-42623848,2212
10,99,5FCF32E7,51C17164 ,20210321,73120,6163704,428035,14400,48787552,3710460,0,-48787552,31496
11,99,5FCF32E7,51C17164 ,20210326,200535,3000000,208330,14400,51787552,3918790,0,-51787552,9207
12,99,5FCF32E7,51C17164 ,20210330,221114,5302192,372345,14240,57089744,4291135,0,-57089744,9897
13,99,5FCF32E7,51C17164 ,20210406,141139,5550253,389765,14240,62639997,4680900,0,-62639997,28022
14,99,5FCF32E7,51C17164 ,20210418,130508,5503570,389220,14140,68143567,5070120,0,-68143567,10829
15,99,5FCF32E7,51C17164 ,20210426,125350,5548253,392380,14140,73691820,5462500,0,-73691820,20425
16,99,5FCF32E7,51C17164 ,20210505,164644,6446720,450190,14320,80138540,5912690,0,-80138540,11893
17,99,5FCF32E7,51C17164 ,20210509,190018,5369713,374980,14320,85508253,6287670,0,-85508253,1373
18,99,5FCF32E7,51C17164 ,20210515,154420,5586604,378240,14770,91094857,6665910,0,-91094857,30835
19,99,5FCF32E7,51C17164 ,20210522,203942,6489051,439340,14770,97583908,7105250,0,-97583908,5202
20,99,5FCF32E7,51C17164 ,20210528,162629,5794935,392345,14770,103378843,7497595,0,-103378843,17407
21,99,5FCF32E7,51C17164 ,20210611,202134,6600368,427485,15440,109979211,7925080,0,-109979211,2431
22,99,5FCF32E7,51C17164 ,20210618,102117,7030295,455330,15440,117009506,8380410,0,-117009506,24127
23,99,5FCF32E7,51C17164 ,20210623,5342,6425587,416165,15440,123435093,8796575,0,-123435093,6074
24,99,5FCF32E7,51C17164 ,20210629,2710,6781504,420950,16110,130216597,9217525,0,-130216597,20573
25,99,5FCF32E7,51C17164 ,20210704,140845,5826100,361645,16110,136042697,9579170,0,-136042697,31333
26,99,5FCF32E7,51C17164 ,20210709,114105,6163363,382580,16110,142206060,9961750,0,-142206060,3883
27,99,5FCF32E7,51C17164 ,20210715,203537,7000207,423485,16530,149206267,10385235,0,-149206267,8631
28,99,5FCF32E7,51C17164 ,20210717,231224,3035651,183645,16530,152241918,10568880,0,-152241918,6075
29,99,5FCF32E7,51C17164 ,20210803,181455,6900200,417435,16530,159142118,10986315,0,-159142118,7325
30,99,5FCF32E7,51C17164 ,20210816,105220,6698534,405235,16530,165840652,11391550,0,-165840652,2150
31,99,5FCF32E7,51C17164 ,20210826,183857,5000159,302490,16530,170840811,11694040,0,-170840811,6916
32,99,5FCF32E7,51C17164 ,20210904,203430,7000537,423505,16530,177841348,12117545,0,-177841348,27308
33,99,5FCF32E7,51C17164 ,20210918,113409,7270555,439840,16530,185111903,12557385,0,-185111903,27463
34,99,5FCF32E7,51C17164 ,20210930,172317,1693415,102445,16530,186805318,12659830,0,-186805318,8751
35,99,5FCF32E7,51C17164 ,20211002,135005,7798320,470345,16580,194603638,13130175,0,-194603638,29972
36,99,5FCF32E7,51C17164 ,20211020,165946,8001397,456180,17540,202605035,13586355,0,-202605035,6704
37,99,5FCF32E7,51C17164 ,20211103,112718,7085196,378685,18710,209690231,13965040,0,-209690231,5001
38,99,5FCF32E7,51C17164 ,20211112,75223,7733123,413315,18710,217423354,14378355,0,-217423354,31816
39,99,5FCF32E7,51C17164 ,20211124,114004,7325245,391515,18710,224748599,14769870,0,-224748599,8492
40,99,5FCF32E7,51C17164 ,20211202,201356,7496007,407835,18380,232244606,15177705,0,-232244606,7793
41,99,5FCF32E7,51C17164 ,20211214,60053,7341854,423650,17330,239586460,15601355,0,-239586460,17446
42,99,5FCF32E7,51C17164 ,20211221,151312,6700904,386665,17330,246287364,15988020,0,-246287364,18242
43,99,5FCF32E7,51C17164 ,20220103,155325,7094590,403790,17570,253381954,16391810,0,-253381954,16744
44,99,5FCF32E7,51C17164 ,20220112,172428,8300757,455335,18230,261682711,16847145,0,-261682711,24647
45,99,5FCF32E7,51C17164 ,20220120,74107,7147800,392090,18230,268830511,17239235,0,-268830511,19625
46,99,5FCF32E7,51C17164 ,20220126,114001,6000088,317465,18900,274830599,17556700,0,-274830599,7686
